ct_intervention_id,ct_intervention_raw,who_drug_substances,who_covid_trial_substances,ct_intervention_types,text_class
705834,Written Information,"""No matches""","""No matches""","[""Behavioral""]",
2045534,Contain COVID Anxiety SSI,"""No matches""","""No matches""","[""Behavioral""]",
2209097,Interferon beta-1b,"[""Interferon"", ""Interferon beta"", ""Interferon beta-1b""]","""No matches""","[""Drug""]",
2512027,Standard of Care (SOC) and Colchicine+Rosuvastatin,"[""Colchicine"", ""Rosuvastatin""]","""No matches""","[""Drug""]",
2209103,Clofazimine,"[""Clofazimine""]","""No matches""","[""Drug""]",
2400035,Atazanavir,"[""Atazanavir""]","""No matches""","[""Drug""]",
2400037,Sofusbuvir,"""No matches""","""No matches""","[""Drug""]",
2512387,Withings ScanWatch,"""No matches""","""No matches""","[""Device""]",
989963,Tocilizumab 20 MG/ML Intravenous Solution {ACTEMRA}_#1,"[""Tocilizumab""]","""No matches""","[""Drug""]",
1329,Deep Breathing training,"""No matches""","""No matches""","[""Other""]",
1334746,Bivalirudin Injection,"[""Bivalirudin""]","""No matches""","[""Drug""]",
2045535,Remain COVID Free SSI,"""No matches""","""No matches""","[""Behavioral""]",
1723115,COVID19 vaccine,"""No matches""","""No matches""","[""Biological""]",
347322,Self Supportive Care (SSC) Alone,"""No matches""","""No matches""","[""Other""]",
2400039,Placebo Atazanavir,"[""Atazanavir""]","""No matches""","[""Drug""]",
1293251,"Hydroxychloroquine , Sofosbuvir, daclatasvir","[""Daclatasvir"", ""Sofosbuvir"", ""Hydroxychloroquine""]","""No matches""","[""Drug""]",
585353,Monalizumab,"[""Monalizumab""]","""No matches""","[""Drug""]",
705517,CYT107,"""No matches""","""No matches""","[""Drug""]",
924935,Brief cognitive behavioral therapy,"""No matches""","""No matches""","[""Behavioral""]",
2446497,ELMO PROJECT AT COVID-19: STUDY IN HUMANS,"""No matches""","""No matches""","[""Other""]",
985,Hydroxychloroquine and azithromycin treatment,"[""Hydroxychloroquine"", ""Azithromycin""]","""No matches""","[""Drug""]",
2045559,Icosapent ethyl (IPE),"""No matches""","""No matches""","[""Drug""]",
2510909,Active comparator,"""No matches""","""No matches""","[""Other""]",
1723003,Covidfree@home,"""No matches""","""No matches""","[""Device""]",
2446520,Leukapheresis,"""No matches""","""No matches""","[""Other""]",
2511004,Lopinavir/Ritonavir 400 mg/100 mg,"[""Ritonavir"", ""Lopinavir""]","""No matches""","[""Drug""]",
585988,Lactoferrin,"[""Lactoferrin""]","""No matches""","[""Drug""]",
705589,ensoETM device,"""No matches""","""No matches""","[""Device""]",
1293708,Nitric Oxide-Releasing Drug,"[""Nitric oxide""]","""No matches""","[""Drug""]",
1366,MultiStem,"""No matches""","""No matches""","[""Biological""]",
2511119,Ivermectin Injectable Solution,"[""Ivermectin""]","""No matches""","[""Drug""]",
20,Ivermectin,"[""Ivermectin""]","""No matches""","[""Drug""]",
585916,Anakinra and Ruxolitinib (Advanced stage 3),"[""Ruxolitinib"", ""Anakinra""]","""No matches""","[""Drug""]",
585411,Diagnostic test for SARS-Cov2 for patients and health staff,"""No matches""","""No matches""","[""Diagnostic Test""]",
585778,Tocilizumab and Ruxolitinib (Advanced stage 3),"[""Ruxolitinib"", ""Tocilizumab""]","""No matches""","[""Drug""]",
2402549,Cannabidiol,"[""Cannabidiol""]","""No matches""","[""Drug""]",
2511321,BBV152A,"""No matches""","""No matches""","[""Biological""]",
2510908,Nelfinavir/Favipiravir,"[""Favipiravir"", ""Nelfinavir""]","[""Favipiravir""]","[""Combination Product""]",
2511322,BBV152B,"""No matches""","""No matches""","[""Biological""]",
2511314,Abatacept,"[""Abatacept""]","""No matches""","[""Biological""]",
2511330,BBV152C,"""No matches""","""No matches""","[""Biological""]",
