itemid1,itemid2,sml
NCT04260594,ChiCTR2000029621,0.84070796
ChiCTR2000029947,ChiCTR2000029941,0.7834395
ChiCTR2000029939,ChiCTR2000029935,0.8988764
ChiCTR2000029776,ChiCTR2000029434,0.6889764
ChiCTR2000029776,ChiCTR2000029605,0.83966243
ChiCTR2000030702,ChiCTR2000029757,0.80427045
ChiCTR2000029495,ChiCTR2000029493,0.7191781
ChiCTR2000029495,ChiCTR2000029461,0.70422536
ChiCTR2000029495,ChiCTR2000029460,0.71034485
ChiCTR2000029495,ChiCTR2000029459,0.7518248
ChiCTR2000029493,ChiCTR2000029461,0.7785714
ChiCTR2000029493,ChiCTR2000029460,0.84782606
ChiCTR2000029493,ChiCTR2000029459,0.8432836
ChiCTR2000029572,ChiCTR2000029569,0.7684729
ChiCTR2000029461,ChiCTR2000029460,0.7202797
ChiCTR2000029461,ChiCTR2000029459,0.76296294
ChiCTR2000029460,ChiCTR2000029459,0.90625
ChiCTR2000030113,ChiCTR2000029600,0.64
ChiCTR2000030167,ChiCTR2000029813,0.7
ChiCTR2000030043,ChiCTR2000029381,0.64640886
ChiCTR2000030000,ChiCTR2000029603,0.60456276
ChiCTR2000029781,ChiCTR2000029780,0.8598485
ChiCTR2000030002,ChiCTR2000029765,0.8588957
ChiCTR2000030255,ChiCTR2000029776,0.6535433
ChiCTR2000030255,ChiCTR2000029434,0.77916664
ChiCTR2000030255,ChiCTR2000029605,0.6501901
ChiCTR2000030091,ChiCTR2000030090,0.8484849
NCT04273581,NCT04273529,0.76023394
ChiCTR2000030467,ChiCTR2000030420,0.84745765
ChiCTR2000030465,ChiCTR2000029658,0.6269841
NCT04295551,ChiCTR2000030218,0.73743016
ChiCTR2000030897,ChiCTR2000029939,0.6017316
ChiCTR2000030479,ChiCTR2000030478,0.7897436
ChiCTR2000030259,ChiCTR2000029603,0.6494024
ChiCTR2000030259,ChiCTR2000030000,0.826484
ChiCTR2000030259,ChiCTR2000029759,0.6331878
ChiCTR2000030477,ChiCTR2000030475,0.8979592
ChiCTR2000030804,ChiCTR2000030471,0.6148649
ChiCTR2000029899,ChiCTR2000029898,0.6547619
NCT04293887,ChiCTR2000030480,0.7227273
ChiCTR2000030720,ChiCTR2000029602,0.6490066
ChiCTR2000030487,ChiCTR2000030424,0.92268044
ChiCTR2000030472,ChiCTR2000029603,0.627907
ChiCTR2000030472,ChiCTR2000030000,0.8288288
ChiCTR2000030472,ChiCTR2000029759,0.62393165
ChiCTR2000030472,ChiCTR2000030259,0.8511628
