substance_name,approval_countries
Elenbecestat,
Cordyceps sinensis mycelium,"CHN, DEU, LTU, MYS, TWN, USA"
Interleukins,
Immunoglobulin human anti-tetanus,"ARG, AUS, AUT, BGD, BRA, CAN, CZE, DEU, DNK, ESP, EST, FRA, GBR, ITA, JPN, KOR, LBN, PHL, POL, SVK, SWE, THA, TUN, TUR, USA, YUG"
Arum maculatum bark,
Sodium hydroxide,"ARG, AUS, AUT, BEL, BGR, BRA, CHE, CHN, COL, CZE, DEU, ESP, EST, FIN, FRA, GBR, GRC, HKG, HUN, IDN, IRL, ITA, JPN, KOR, LTU, LVA, MAR, MYS, NLD, NOR, PER, PHL, POL, PRT, ROM, RUS, SGP, SVK, SVN, SWE, THA, TWN, UKR, USA, ZAF"
Ficus carica bud,DEU
Liafensine,
Demecarium,
Canfosfamidhydrochloride,
Berberis poiretii root,CHN
Mitemcinal,
Macadamia spp.,
Cinchocaine,"BEL, CAN, CHE, CZE, DEU, DNK, DOM, ECU, EGY, EST, FIN, FRA, GBR, JPN, KOR, LTU, LUX, LVA, MAR, NLD, PAK, PER, PRI, PRT, RUS, SGP, SWE, TWN, USA, VEN, ZAF"
Disodium Uridine Monophosphate,"POL, UKR, USA"
Yucca baccata fruit,
Bisoprolol fumarate,"ARE, ARG, AUS, AUT, BEL, BGD, BGR, BIH, BLR, BRA, BWA, CAN, CHE, CHL, CHN, CIV, COL, CZE, DEU, DNK, DOM, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GEO, GRC, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SRB, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, UKR, URY, USA, VEN, VNM, YUG, ZAF, ZMB, ZWE"
Lixisenatide,"ARE, AUT, BEL, BGR, BRA, CAN, CHE, CHL, COL, CZE, DEU, ESP, EST, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IND, ITA, JPN, KOR, KWT, LBN, LTU, LUX, LVA, MEX, MYS, NLD, NOR, PHL, POL, PRI, ROM, RUS, SAU, SGP, SVK, SVN, SWE, TUR, TWN, UKR, USA"
Alchemilla vulgaris,"CZE, DEU, EST, FRA, LTU, LUX, LVA, NLD, SVK"
Squalamine lactate,
Lumiracoxib,"ARG, AUS, AUT, BEL, CHE, CHL, COL, ECU, GBR, HUN, IDN, LUX, MEX, NLD, NOR, PHL, PRT, SWE, TUR, ZAF"
Magnesium salts,"DEU, ESP"
Adomiparin sodium,
Selenicereus undatus,
Amlodipine,"ARG, AUT, BEL, BFA, BGD, BGR, BLR, BRA, BWA, CHN, CIV, COD, COL, DEU, DNK, DOM, ECU, EGY, ESP, ETH, FIN, GBR, GEO, GRC, HKG, HRV, HUN, IDN, IND, IRL, ITA, JOR, JPN, KGZ, KOR, LBN, LTU, LVA, MAR, MEX, NLD, NOR, PAK, PER, PHL, POL, PRT, ROM, RUS, SAU, SGP, SRB, SVK, SVN, SWE, TUN, TUR, TWN, UGA, UKR, URY, USA, VEN, VNM, YEM, YUG, ZAF, ZMB, ZWE"
Papaver rhoeas,"CHE, DEU, ECU, FRA, ITA, LTU, LUX, LVA, RUS, TUR"
Alcea rosea root,
Chloride,"ARE, AUS, AUT, BGD, BGR, BRA, BWA, CAN, CHE, CHN, DEU, EGY, EST, FRA, GBR, GRC, HKG, IDN, IND, IRL, KOR, LBN, LTU, LVA, MAR, MEX, MYS, NLD, NZL, PAK, PER, PHL, PRT, SAU, SGP, TUR, USA, ZAF"
Citrus x paradisi essential oil,
Ergometrine tartrate,"DOM, THA"
Agrimonia eupatoria root,EST
Allium macrostemon bulb,CHN
Argemone mexicana seed,
Nipradolol,"JPN, KOR"
Levofloxacin,"ARE, ARG, ARM, AUT, BEL, BFA, BGD, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CHN, CIV, COD, COL, CZE, DEU, DOM, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GRC, HKG, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, OMN, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SRB, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, UKR, URY, USA, VEN, ZAF, ZMB, ZWE"
Methacholine chloride,"AUS, CAN, DEU, EST, ITA, JPN, LVA, NOR, POL, PRT, TWN, USA"
Alvocidib,
Fenflumizole,
Nicotiana alata,DEU
Meclofenoxate hydrochloride,"BGR, CHN, COL, DEU, EGY, FRA, GBR, HKG, HUN, JPN, KOR, LTU, LVA, MAR, POL, ROM, TUN, TUR, TWN"
Isodon amethystoides,CHN
Lonicera confusa flower bud,CHN
"5-(1,2-dibromostyryl)-5-methyl-hydantoi",ITA
SAR 441236,
Benoxaprofen,"DEU, DNK, GBR"
Immunoglobulin antivenom snakes,"ARE, ARG, BEL, BFA, CHN, CIV, COL, ECU, EGY, HUN, IDN, IND, ITA, JPN, MAR, MEX, PER, PRI, RUS, SAU, THA, TUR, TWN, USA, ZAF"
Aconitum ferox root,
Ascophyllum nodosum,"ARG, AUS, CAN, DEU, EST, FRA, HRV, KOR, LTU, LVA, MYS, NZL, OMN, POL, USA"
Citrus aurantiifolia,"AUS, IRN, POL, TWN"
Amomum subulatum fruit,"GEO, KAZ, KGZ, PAK, TJK, USA, UZB"
Artesunate,"BEL, BEN, BFA, BGD, BWA, CHE, CHN, CIV, CMR, COD, COG, DEU, ECU, EGY, EST, ETH, FRA, GAB, GHA, HKG, IDN, IND, KEN, KOR, MAR, MDG, MYS, NGA, NOR, NZL, PAK, PER, POL, PRT, SLE, TGO, THA, TZA, UGA, ZAF, ZMB, ZWE"
Syzygium aromaticum,"ARE, AUS, BGR, BLR, CAN, CHE, CHN, COD, DEU, EGY, EST, GBR, IDN, IND, IRN, ITA, JPN, KOR, KWT, LTU, LVA, MAR, MYS, NZL, PER, PHL, POL, RUS, SWE, TUR, TWN, USA, ZAF, ZMB"
Pitavastatin,
Borotannic complex,"DNK, GBR, IRL"
Thymus vulgaris tincture,"BLR, CZE, DEU, EST, HUN, NLD, POL, ROM, RUS, UKR"
Poria cocos sclerotium,"CAN, CHN, HKG, JPN, KOR, MYS, USA, ZMB"
Diisobutylaminobenzoyloxypropyl theophylline,JPN
Tiquizium,
Piperonal,"ARG, GBR, IRL, TUN"
Verbena officinalis stem,RUS
Rubus vitifolius subsp. ursinus herb,
Corydalis impatiens,
Thymus spp. fluid extract,"CHE, RUS"
Bentiamine,"IDN, JPN"
Olmesartan medoxomil,"ARE, ARG, AUS, AUT, BEL, BFA, BGD, BGR, BRA, CAN, CHE, CHL, CHN, CIV, COL, CZE, DEU, DOM, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SRB, SVK, SVN, THA, TUN, TUR, TWN, UGA, UKR, URY, USA, VEN, ZMB, ZWE"
Palifosfamide,
Diacetolol,
Pentapiperide,
Ophiopogon japonicus herb,
Melphalan,"ARE, ARG, AUS, AUT, BEL, BGD, BGR, BLR, BRA, CAN, CHE, CHL, CHN, COL, CZE, DEU, DOM, ECU, EGY, ESP, EST, FIN, FRA, GBR, GRC, HKG, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KOR, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, UKR, URY, USA, ZAF"
Hypericum perforatum dry herb,AUS
Nicotinic acid calcium,
Bowdichia virgilioides,BRA
Clinacanthus nutans,THA
Mycobacterium vaccae,
Talc,"ARG, AUS, BGR, BRA, CAN, CHL, CHN, COD, DEU, DOM, ECU, ESP, EST, FRA, GBR, GRC, HUN, IDN, IRL, ITA, JPN, KOR, KWT, LVA, MYS, NLD, NOR, NZL, PAK, POL, PRI, RUS, SGP, UGA, UKR, URY, USA"
Naltrexone hydrochloride,"ARG, AUS, AUT, BEL, BGD, BGR, BLR, BRA, CAN, CHE, CHL, CHN, COL, CZE, DEU, DNK, EGY, ESP, EST, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, KGZ, KOR, LBN, LTU, LVA, MEX, MYS, NLD, NOR, NZL, PAK, PER, POL, PRI, PRT, ROM, RUS, SGP, SVK, SVN, SWE, THA, TUR, TWN, UKR, URY, USA, VEN, ZAF"
GS 9901,
Metronidazole,"ARE, ARG, ARM, AUS, AUT, BEL, BFA, BGD, BGR, BLR, BOL, BRA, BWA, CAN, CHE, CHL, CHN, CIV, COD, COL, CZE, DEU, DNK, DOM, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GHA, GRC, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KAZ, KEN, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NGA, NLD, NOR, NZL, OMN, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SRB, SVK, SVN, SWE, THA, TUN, TUR, TWN, TZA, UGA, UKR, URY, USA, UZB, VEN, VNM, YUG, ZAF, ZMB, ZWE"
Methylcellulose,"ARG, AUS, BEL, BGR, BRA, CAN, CZE, DEU, DNK, ESP, EST, FIN, FRA, GBR, IND, IRL, ITA, JOR, JPN, LUX, LVA, MEX, NLD, PAK, PER, POL, PRI, PRT, ROM, RUS, SVN, TUN, TWN, USA, VEN"
"1,3-butandiol","BLR, DEU"
Levopropylhexedrine,"DEU, USA"
Fagonia arabica,IND
Baliospermum montanum seed oil,
Echinacea purpurea fresh herb juice,
Croconazole,DEU
Aegle marmelos,"BGR, BLR, GRC, IND, JPN, MYS, RUS, ZAF"
LOXO 195,
Selaginella tamariscina herb,CHN
